Date,Open,High,Low,Close,Volume,Adj Close
2017-02-07,76.01,76.99,75.75,76.34,505400,76.34
2017-02-06,77.32,77.32,75.74,75.93,442900,75.93
2017-02-03,77.60,77.98,77.15,77.15,468500,77.15
2017-02-02,76.20,77.71,75.93,77.50,532700,77.50
2017-02-01,75.73,76.43,75.71,76.03,800700,76.03
2017-01-31,75.37,77.08,75.37,75.37,860800,75.37
2017-01-30,75.51,75.84,74.88,75.20,612800,75.20
2017-01-27,75.62,76.05,75.25,75.58,592900,75.58
2017-01-26,76.90,77.58,75.56,75.61,710200,75.61
2017-01-25,76.29,77.48,75.76,76.54,604100,76.54
2017-01-24,76.15,76.70,74.05,75.90,1014600,75.90
2017-01-23,76.98,76.98,76.01,76.09,457500,76.09
2017-01-20,78.16,78.17,76.77,76.87,532700,76.87
2017-01-19,77.80,79.55,77.64,77.94,673100,77.94
2017-01-18,78.98,79.08,76.54,77.53,934100,77.53
2017-01-17,79.34,79.93,78.21,78.67,632400,78.67
2017-01-16,80.04,80.36,79.28,79.38,392300,79.38
2017-01-13,80.00,80.80,79.55,80.58,543900,80.58
2017-01-12,80.05,80.44,79.52,80.12,541500,80.12
2017-01-11,81.12,81.14,80.06,80.12,558300,80.12
2017-01-10,80.75,81.58,80.75,81.38,614900,81.38
2017-01-09,80.55,80.87,80.12,80.77,464200,80.77
2017-01-06,80.20,80.35,79.58,80.16,491300,80.16
2017-01-05,80.07,80.89,80.07,80.47,459100,80.47
2017-01-04,80.25,80.93,79.89,80.20,644400,80.20
2017-01-03,81.00,81.74,80.00,80.00,713900,80.00
2017-01-02,80.00,80.90,79.41,80.66,524300,80.66
2016-12-30,80.65,80.71,80.15,80.15,286100,80.15
2016-12-29,79.84,80.79,79.77,80.71,267500,80.71
2016-12-28,80.50,80.60,80.01,80.08,320600,80.08
2016-12-27,80.22,80.81,80.07,80.45,232000,80.45
2016-12-26,80.36,80.36,80.36,80.36,000,80.36
2016-12-23,79.09,80.54,79.09,80.36,488900,80.36
2016-12-22,79.47,79.51,78.55,78.98,577700,78.98
2016-12-21,79.50,80.46,79.11,79.67,826800,79.67
2016-12-20,79.20,79.89,79.09,79.54,547900,79.54
2016-12-19,78.50,79.63,78.50,79.22,627100,79.22
2016-12-16,77.95,78.90,77.82,78.61,958100,78.61
2016-12-15,76.78,78.50,76.69,78.01,1023200,78.01
2016-12-14,75.91,76.67,75.68,76.50,887700,76.50
2016-12-13,76.31,76.58,75.64,76.39,799000,76.39
2016-12-12,77.06,77.30,76.29,76.53,803200,76.53
2016-12-09,76.23,77.11,76.18,76.80,888100,76.80
2016-12-08,76.38,77.00,75.75,76.09,1060600,76.09
2016-12-07,74.13,75.43,73.96,75.43,931600,75.43
2016-12-06,73.72,73.72,72.69,73.58,679700,73.58
2016-12-05,73.07,74.00,72.64,73.44,483000,73.44
2016-12-02,72.40,73.08,71.45,72.65,764100,72.65
2016-12-01,74.10,74.36,72.63,72.98,914000,72.98
2016-11-30,75.75,75.98,74.45,74.50,729300,74.50
2016-11-29,75.28,76.21,75.16,75.79,450700,75.79
2016-11-28,75.52,75.91,74.46,75.45,669000,75.45
2016-11-25,75.50,75.69,74.91,75.56,319100,75.56
2016-11-24,75.08,75.83,74.99,75.49,415000,75.49
2016-11-23,76.13,76.37,74.88,74.88,517100,74.88
2016-11-22,76.27,77.15,75.73,76.02,661100,76.02
2016-11-21,76.86,77.04,75.52,76.20,515000,76.20
2016-11-18,76.08,77.56,75.75,76.59,943000,76.59
2016-11-17,74.59,76.00,74.55,75.65,1106600,75.65
2016-11-16,73.18,74.45,72.84,74.41,1137800,74.41
2016-11-15,71.80,73.30,71.55,73.00,949500,73.00
2016-11-14,72.89,73.20,71.11,71.59,1011100,71.59
2016-11-11,72.71,73.18,71.90,72.43,956600,72.43
2016-11-10,74.32,75.35,72.14,72.54,1361800,72.54
2016-11-09,71.40,74.51,71.10,74.01,1409800,74.01
2016-11-08,74.65,75.18,73.55,74.06,826700,74.06
2016-11-07,75.02,75.20,73.86,74.59,1043900,74.59
2016-11-04,74.87,75.02,73.84,74.17,863100,74.17
2016-11-03,74.40,76.09,74.26,75.00,1003800,75.00
2016-11-02,74.93,75.04,74.06,74.85,1114200,74.85
2016-11-01,75.76,75.95,74.63,74.92,1047600,74.92
2016-10-31,75.62,75.96,75.10,75.48,892500,75.48
2016-10-28,75.41,75.96,75.00,75.54,1043300,75.54
2016-10-27,76.70,77.05,75.42,75.45,1433100,75.45
2016-10-26,79.76,79.76,76.15,76.62,2672600,76.62
2016-10-25,83.80,84.08,82.38,82.64,886900,82.64
2016-10-24,83.74,84.20,83.39,83.67,560000,83.67
2016-10-21,82.77,83.75,82.77,83.40,745000,83.40
2016-10-20,83.60,83.69,81.65,82.77,725200,82.77
2016-10-19,83.35,83.39,82.82,83.20,701500,83.20
2016-10-18,81.00,83.98,81.00,83.60,945000,83.60
2016-10-17,81.01,81.14,79.62,80.55,1013300,80.55
2016-10-14,82.30,82.86,80.85,81.11,1238200,81.11
2016-10-13,82.20,82.45,81.58,82.45,910000,82.45
2016-10-12,82.92,83.90,82.25,82.63,753100,82.63
2016-10-11,83.60,83.80,82.41,82.95,653900,82.95
2016-10-10,84.22,84.85,82.98,83.80,797600,83.80
2016-10-07,87.03,87.03,84.12,84.12,860600,84.12
2016-10-06,87.49,87.78,86.31,87.15,588000,87.15
2016-10-05,88.00,88.00,86.40,87.11,900400,87.11
2016-10-04,89.00,89.80,88.66,88.69,519800,88.69
2016-10-03,87.20,89.27,87.18,88.91,484800,88.91
2016-09-30,86.46,87.77,85.69,87.18,582300,87.18
2016-09-29,88.35,88.67,86.75,87.48,673000,87.48
2016-09-28,87.54,88.32,87.52,87.79,458600,87.79
2016-09-27,88.49,88.70,85.97,87.14,625700,87.14
2016-09-26,87.33,87.62,86.85,87.16,593000,87.16
2016-09-23,87.60,87.64,87.02,87.64,482900,87.64
2016-09-22,87.66,88.24,87.59,87.77,350800,87.77
2016-09-21,87.25,87.65,86.72,86.94,371900,86.94
2016-09-20,87.25,87.42,86.87,86.87,263900,86.87
2016-09-19,85.95,87.63,85.95,87.28,474400,87.28
2016-09-16,84.86,85.29,84.19,85.29,735000,85.29
2016-09-15,85.55,85.66,84.82,85.24,393200,85.24
2016-09-14,85.92,86.32,85.54,85.84,349800,85.84
2016-09-13,86.50,86.73,85.26,85.43,461500,85.43
2016-09-12,85.58,85.73,84.52,85.73,470900,85.73
2016-09-09,87.52,87.57,86.47,86.94,406500,86.94
2016-09-08,88.22,88.83,86.98,87.79,484800,87.79
2016-09-07,88.58,88.95,88.10,88.45,376500,88.45
2016-09-06,88.85,88.91,87.81,88.21,347600,88.21
2016-09-05,89.48,89.52,88.56,88.73,330700,88.73
2016-09-02,88.50,89.26,87.75,89.14,401700,89.14
2016-09-01,87.58,88.64,87.46,88.19,446200,88.19
2016-08-31,88.36,88.81,87.19,87.34,438600,87.34
2016-08-30,87.88,89.40,87.83,88.37,382800,88.37
2016-08-29,87.44,87.95,86.58,87.55,260700,87.55
2016-08-26,85.70,88.29,85.45,87.88,723900,87.88
2016-08-25,86.21,86.21,84.98,85.57,275900,85.57
2016-08-24,85.60,86.90,85.15,86.49,389700,86.49
2016-08-23,85.20,86.32,84.90,86.16,345100,86.16
2016-08-22,84.26,85.61,84.12,84.92,347700,84.92
2016-08-19,84.97,85.36,83.63,84.30,346800,84.30
2016-08-18,84.72,85.36,84.43,85.21,299500,85.21
2016-08-17,85.50,85.55,83.87,84.31,323000,84.31
2016-08-16,86.13,86.25,85.18,85.28,238600,85.28
2016-08-15,85.79,86.62,85.49,86.28,166800,86.28
2016-08-12,86.04,86.28,85.52,85.79,327200,85.79
2016-08-11,86.73,87.05,85.50,86.05,375800,86.05
2016-08-10,86.00,87.07,85.91,86.39,370300,86.39
2016-08-09,85.34,86.38,85.04,86.21,276200,86.21
2016-08-08,85.71,85.80,85.08,85.55,275000,85.55
2016-08-05,84.84,85.62,84.51,85.58,384400,85.58
2016-08-04,83.66,85.92,83.48,84.58,427100,84.58
2016-08-03,83.87,84.02,82.95,83.43,314300,83.43
2016-08-02,85.01,85.22,83.36,83.74,590500,83.74
2016-08-01,86.00,87.16,85.07,85.37,337500,85.37
2016-07-29,85.40,85.95,85.04,85.95,812200,85.95
2016-07-28,82.27,85.94,82.04,85.11,983200,85.11
2016-07-27,84.35,86.73,81.68,82.65,1261900,82.65
2016-07-26,83.78,84.18,83.11,83.32,482100,83.32
2016-07-25,82.27,83.84,81.90,83.54,561900,83.54
2016-07-22,81.29,82.23,80.62,82.05,302100,82.05
2016-07-21,82.62,82.62,81.58,81.58,383400,81.58
2016-07-20,80.00,82.85,79.83,82.65,956700,82.65
2016-07-19,78.98,79.63,78.66,78.79,407000,78.79
2016-07-18,78.96,80.45,78.73,79.00,460900,79.00
2016-07-15,78.90,80.24,78.44,78.72,880700,78.72
2016-07-14,79.23,80.19,78.94,80.19,653700,80.19
2016-07-13,76.90,78.83,76.90,78.28,681400,78.28
2016-07-12,76.66,77.10,76.17,77.00,573600,77.00
2016-07-11,76.32,77.07,76.00,76.51,557500,76.51
2016-07-08,73.59,75.39,73.50,75.39,628600,75.39
2016-07-07,73.85,74.83,73.49,74.11,568200,74.11
2016-07-06,74.00,74.34,72.38,73.40,740000,73.40
2016-07-05,75.52,75.78,74.47,74.65,666800,74.65
2016-07-04,78.17,78.40,75.69,75.91,527800,75.91
2016-07-01,78.44,78.58,77.12,77.85,751500,77.85
2016-06-30,77.77,78.36,76.21,78.20,898300,78.20
2016-06-29,77.60,78.84,76.60,78.52,711000,78.52
2016-06-28,76.49,76.97,75.50,76.50,1320300,76.50
2016-06-27,79.26,79.75,73.87,74.40,1723700,74.40
2016-06-24,75.66,82.85,73.45,80.10,2133500,80.10
2016-06-23,87.10,89.01,86.88,89.01,643300,89.01
2016-06-22,87.61,87.98,86.95,86.97,442000,86.97
2016-06-21,86.59,87.28,86.21,86.99,404500,86.99
2016-06-20,84.00,86.72,83.86,86.72,732800,86.72
2016-06-17,82.27,83.00,81.85,82.52,861600,82.52
2016-06-16,82.10,82.64,81.44,81.78,594400,81.78
2016-06-15,83.12,83.87,82.19,83.13,669100,83.13
2016-06-14,83.63,84.00,82.53,82.65,610900,82.65
2016-06-13,84.72,85.17,83.69,84.23,645900,84.23
2016-06-10,87.53,87.60,85.67,85.75,656900,85.75
2016-06-09,87.85,88.60,86.92,87.63,686600,87.63
2016-06-08,87.23,87.61,86.65,87.06,468800,87.06
2016-06-07,87.03,87.78,86.86,87.72,431800,87.72
2016-06-06,87.08,87.35,86.40,86.59,490800,86.59
2016-06-03,88.26,88.34,86.30,87.35,877700,87.35
2016-06-02,85.23,88.73,85.19,87.82,1160500,87.82
2016-06-01,86.19,86.19,84.75,85.02,459900,85.02
2016-05-31,85.61,86.00,85.35,85.70,618700,85.70
2016-05-30,85.13,86.05,84.59,85.70,398200,85.70
2016-05-27,85.83,86.06,85.39,86.04,326800,84.69
2016-05-26,85.00,86.06,84.39,86.05,554100,84.70
2016-05-25,85.63,85.77,84.66,84.82,550700,83.489
2016-05-24,82.85,85.15,82.14,85.00,619200,83.666
2016-05-23,82.01,83.34,81.94,82.89,653400,81.589
2016-05-20,80.74,81.73,80.70,81.73,486500,80.448
2016-05-19,80.93,80.93,79.89,80.21,520200,78.951
2016-05-18,80.66,81.30,80.39,81.24,433500,79.965
2016-05-17,80.90,81.74,80.47,80.95,495300,79.68
2016-05-16,80.81,81.00,80.02,80.66,405300,79.394
2016-05-13,80.40,81.52,79.87,81.50,410800,80.221
2016-05-12,81.60,82.38,80.79,80.86,506000,79.591
2016-05-11,81.21,81.75,81.21,81.66,372700,80.379
2016-05-10,81.47,81.88,81.07,81.45,427900,80.172
2016-05-09,79.37,81.34,79.25,81.13,566000,79.857
2016-05-06,79.28,79.59,78.68,78.89,589400,77.652
2016-05-05,80.14,80.33,79.25,79.44,383300,78.194
2016-05-04,80.66,81.32,79.77,79.83,531400,78.577
2016-05-03,81.50,81.75,80.22,80.97,448400,79.70
2016-05-02,81.80,81.92,81.19,81.65,200900,80.369
2016-04-29,82.50,82.82,81.40,81.53,621300,80.251
2016-04-28,83.14,83.48,82.40,82.82,666500,81.521
2016-04-27,80.20,83.63,80.20,83.63,1116100,82.318
2016-04-26,78.87,79.36,78.00,78.58,713600,77.347
2016-04-25,78.86,79.13,77.96,78.70,356300,77.465
2016-04-22,79.27,79.41,78.65,79.02,565900,77.78
2016-04-21,80.27,80.64,78.84,79.30,858800,78.056
2016-04-20,81.33,81.74,79.62,79.88,583900,78.627
2016-04-19,80.64,81.84,80.35,81.55,538900,80.27
2016-04-18,79.50,80.87,79.10,80.28,543500,79.02
2016-04-15,81.55,81.55,80.29,80.30,592400,79.04
